cities,state,country,country_code
Fitchburg,Massachusetts,USA,US
Framingham,Massachusetts,USA,US
Gloucester,Massachusetts,USA,US
Great Barrington,Massachusetts,USA,US
Greenfield,Massachusetts,USA,US
Groton,Massachusetts,USA,US
Harwich,Massachusetts,USA,US
Haverhill,Massachusetts,USA,US
Hingham,Massachusetts,USA,US
Holyoke,Massachusetts,USA,US
Hyannis,Massachusetts,USA,US
Ipswich,Massachusetts,USA,US
Lawrence,Massachusetts,USA,US
Lenox,Massachusetts,USA,US
Leominster,Massachusetts,USA,US
Lexington,Massachusetts,USA,US
Lowell,Massachusetts,USA,US
Ludlow,Massachusetts,USA,US
Lynn,Massachusetts,USA,US
Malden,Massachusetts,USA,US
Marblehead,Massachusetts,USA,US
Marlborough,Massachusetts,USA,US
Medford,Massachusetts,USA,US
Milton,Massachusetts,USA,US
Nahant,Massachusetts,USA,US
Natick,Massachusetts,USA,US
New Bedford,Massachusetts,USA,US
Newburyport,Massachusetts,USA,US
Newton,Massachusetts,USA,US
North Adams,Massachusetts,USA,US
Northampton,Massachusetts,USA,US
Norton,Massachusetts,USA,US
Norwood,Massachusetts,USA,US
Peabody,Massachusetts,USA,US
Pittsfield,Massachusetts,USA,US
Plymouth,Massachusetts,USA,US
Provincetown,Massachusetts,USA,US
Quincy,Massachusetts,USA,US
Randolph,Massachusetts,USA,US
Revere,Massachusetts,USA,US
Salem,Massachusetts,USA,US
Sandwich,Massachusetts,USA,US
Saugus,Massachusetts,USA,US
Somerville,Massachusetts,USA,US
South Hadley,Massachusetts,USA,US
Springfield,Massachusetts,USA,US
Stockbridge,Massachusetts,USA,US
Stoughton,Massachusetts,USA,US
Sturbridge,Massachusetts,USA,US
Sudbury,Massachusetts,USA,US
Taunton,Massachusetts,USA,US
Tewksbury,Massachusetts,USA,US
Truro,Massachusetts,USA,US
Watertown,Massachusetts,USA,US
Webster,Massachusetts,USA,US
Wellesley,Massachusetts,USA,US
Wellfleet,Massachusetts,USA,US
West Bridgewater,Massachusetts,USA,US
West Springfield,Massachusetts,USA,US
Westfield,Massachusetts,USA,US
Weymouth,Massachusetts,USA,US
Whitman,Massachusetts,USA,US
Williamstown,Massachusetts,USA,US
Woburn,Massachusetts,USA,US
Woods Hole,Massachusetts,USA,US
Worcester,Massachusetts,USA,US
Adrian,Michigan,USA,US
Alma,Michigan,USA,US
Ann Arbor,Michigan,USA,US
Battle Creek,Michigan,USA,US
Bay City,Michigan,USA,US
Benton Harbor,Michigan,USA,US
Bloomfield Hills,Michigan,USA,US
